date,total_cases,new_cases,total_deaths,cumulative_deaths
2020-02-06T00:00:00.000,2,0,1,1
2020-02-17T00:00:00.000,3,1,1,2
2020-03-06T00:00:00.000,41,10,1,3
2020-03-09T00:00:00.000,70,17,2,5
2020-03-13T00:00:00.000,182,48,1,6
2020-03-15T00:00:00.000,257,32,2,8
2020-03-17T00:00:00.000,347,53,3,11
2020-03-20T00:00:00.000,502,64,2,13
2020-03-21T00:00:00.000,538,36,2,15
2020-03-22T00:00:00.000,579,41,2,17
2020-03-23T00:00:00.000,658,79,5,22
2020-03-24T00:00:00.000,729,71,1,23
2020-03-25T00:00:00.000,807,78,7,30
2020-03-27T00:00:00.000,949,67,1,31
2020-03-28T00:00:00.000,989,40,2,33
2020-03-29T00:00:00.000,1013,24,2,35
2020-03-30T00:00:00.000,1091,78,2,37
2020-03-31T00:00:00.000,1142,51,1,38
2020-04-01T00:00:00.000,1192,50,3,41
2020-04-02T00:00:00.000,1245,53,2,43
2020-04-03T00:00:00.000,1288,43,1,44
2020-04-04T00:00:00.000,1321,33,2,46
2020-04-05T00:00:00.000,1364,43,3,49
2020-04-06T00:00:00.000,1417,53,1,50
2020-04-07T00:00:00.000,1458,41,2,52
2020-04-08T00:00:00.000,1530,72,2,54
2020-04-09T00:00:00.000,1598,68,4,58
2020-04-10T00:00:00.000,1681,83,1,59
2020-04-11T00:00:00.000,1722,41,6,65
2020-04-12T00:00:00.000,1746,24,6,71
2020-04-13T00:00:00.000,1787,41,1,72
2020-04-14T00:00:00.000,1831,44,2,74
2020-04-15T00:00:00.000,1862,31,4,78
2020-04-16T00:00:00.000,1889,27,3,81
2020-04-17T00:00:00.000,1931,42,5,86
2020-04-18T00:00:00.000,1946,15,4,90
2020-04-19T00:00:00.000,1960,14,2,92
2020-04-20T00:00:00.000,1985,25,5,97
2020-04-21T00:00:00.000,2011,26,3,100
2020-04-22T00:00:00.000,2060,49,3,103
2020-04-23T00:00:00.000,2080,20,1,104
2020-04-24T00:00:00.000,2111,31,1,105
2020-04-25T00:00:00.000,2125,14,1,106
2020-04-26T00:00:00.000,2136,11,3,109
2020-04-27T00:00:00.000,2160,24,2,111
2020-04-28T00:00:00.000,2182,22,2,113
2020-04-29T00:00:00.000,2210,28,2,115
2020-04-30T00:00:00.000,2220,10,3,118
2020-05-01T00:00:00.000,2241,21,2,120
2020-05-02T00:00:00.000,2253,12,3,123
2020-05-03T00:00:00.000,2261,8,2,125
2020-05-04T00:00:00.000,2280,19,4,129
2020-05-06T00:00:00.000,2321,28,2,131
2020-05-08T00:00:00.000,2357,24,1,132
2020-05-09T00:00:00.000,2368,11,1,133
